Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Pickford,Everton,GKP,5.6,103,OK,18.39,13.0,1.0,103.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.09
Roefs,Sunderland,GKP,4.9,98,OK,20.0,3.0,1.0,98.0,SUN,1142.8095238095239,1195.904761904762,1195.904761904762,0.08
Raya,Arsenal,GKP,5.9,93,OK,15.76,7.0,1.0,93.0,ARS,1131.8095238095239,1182.1904761904761,1182.1904761904761,0.08
Sánchez,Chelsea,GKP,4.9,88,OK,17.96,14.0,1.0,88.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.08
Kelleher,Brentford,GKP,4.6,83,OK,18.04,2.0,1.0,83.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.07
Henderson,Crystal Palace,GKP,5.0,82,OK,16.4,3.0,1.0,82.0,CRY,1109.6190476190477,1173.142857142857,1173.142857142857,0.07
Donnarumma,Man City,GKP,5.6,79,OK,14.11,10.0,1.0,79.0,MCI,1173.5238095238094,1210.3809523809523,1210.3809523809523,0.07
Vicario,Spurs,GKP,4.8,77,OK,16.04,2.0,1.0,77.0,TOT,1206.857142857143,1225.952380952381,1225.952380952381,0.06
Martinez,Aston Villa,GKP,5.0,76,OK,15.2,12.0,1.0,76.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.06
Pope,Newcastle,GKP,5.1,74,OK,14.51,9.0,1.0,74.0,NEW,1176.4285714285713,1258.7142857142858,1258.7142857142858,0.06
Dúbravka,Burnley,GKP,4.0,73,OK,18.25,10.0,1.0,73.0,BUR,1133.047619047619,1184.4761904761901,1184.4761904761901,0.06
Verbruggen,Brighton,GKP,4.5,71,OK,15.78,3.0,1.0,71.0,BHA,1154.6666666666667,1153.4285714285713,1153.4285714285713,0.06
Leno,Fulham,GKP,4.9,70,OK,14.29,6.0,1.0,70.0,FUL,1169.2857142857144,1212.7142857142856,1212.7142857142856,0.06
A.Becker,Liverpool,GKP,5.4,65,OK,12.04,3.0,1.0,65.0,LIV,1179.857142857143,1199.3333333333333,1199.3333333333333,0.05
Petrović,Bournemouth,GKP,4.5,60,OK,13.33,3.0,1.0,60.0,BOU,1102.2380952380952,1150.4761904761904,1150.4761904761904,0.05
Sels,Nott'm Forest,GKP,4.6,60,OK,13.04,16.0,1.0,60.0,NFO,1149.2857142857142,1192.8095238095236,1192.8095238095236,0.05
Lammens,Man Utd,GKP,5.0,49,OK,9.8,8.0,1.0,49.0,MUN,1114.1904761904761,1147.9999999999998,1147.9999999999998,0.04
Areola,West Ham,GKP,4.3,49,OK,11.4,5.0,1.0,49.0,WHU,1156.952380952381,1186.6666666666665,1186.6666666666665,0.04
Perri,Leeds,GKP,4.5,43,OK,9.56,0.0,1.0,43.0,LEE,1239.285714285714,1192.2857142857142,1192.2857142857142,0.04
José Sá,Wolves,GKP,4.2,27,OK,6.43,8.0,1.0,27.0,WOL,1143.857142857143,1198.4761904761906,1198.4761904761906,0.02
Johnstone,Wolves,GKP,4.4,21,OK,4.77,0.0,1.0,21.0,WOL,1143.857142857143,1198.4761904761906,1198.4761904761906,0.02
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0,LIV,1179.857142857143,1199.3333333333333,1199.3333333333333,0.02
Darlow,Leeds,GKP,3.9,18,OK,4.62,8.0,1.0,18.0,LEE,1239.285714285714,1192.2857142857142,1192.2857142857142,0.02
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,0.0,1.0,11.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.01
Trafford,Man City,GKP,4.5,11,OK,2.44,0.0,1.0,11.0,MCI,1173.5238095238094,1210.3809523809523,1210.3809523809523,0.01
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,0.0,1.0,11.0,MUN,1114.1904761904761,1147.9999999999998,1147.9999999999998,0.01
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,NEW,1176.4285714285713,1258.7142857142858,1258.7142857142858,0.01
Hermansen,West Ham,GKP,4.2,9,OK,2.14,0.0,1.0,9.0,WHU,1156.952380952381,1186.6666666666665,1186.6666666666665,0.01
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7,0.0,1.0,3.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.0
Gabriel,Arsenal,DEF,6.6,121,OK,18.33,9.0,1.0,121.0,ARS,1131.8095238095239,1182.1904761904761,1182.1904761904761,0.1
Chalobah,Chelsea,DEF,5.3,114,OK,21.51,12.0,1.0,114.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.1
Tarkowski,Everton,DEF,5.6,112,OK,20.0,12.0,1.0,112.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.09
Guéhi,Crystal Palace,DEF,4.6,111,OK,24.13,6.0,1.0,111.0,CRY,1109.6190476190477,1173.142857142857,1173.142857142857,0.09
J.Timber,Arsenal,DEF,6.3,110,DOUBT,17.46,6.0,1.0,110.0,ARS,1131.8095238095239,1182.1904761904761,1182.1904761904761,0.09
Matheus N.,Man City,DEF,5.4,105,OK,19.44,11.0,1.0,105.0,MCI,1173.5238095238094,1210.3809523809523,1210.3809523809523,0.09
Mukiele,Sunderland,DEF,4.5,102,OK,22.67,10.0,1.0,102.0,SUN,1142.8095238095239,1195.904761904762,1195.904761904762,0.09
Lacroix,Crystal Palace,DEF,5.1,100,OK,19.61,2.0,1.0,100.0,CRY,1109.6190476190477,1173.142857142857,1173.142857142857,0.09
James,Chelsea,DEF,5.7,98,OK,17.19,15.0,1.0,98.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.09
Keane,Everton,DEF,4.7,96,DOUBT,20.43,96.0,1.0,96.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.08
Van de Ven,Spurs,DEF,4.6,96,DOUBT,20.87,7.0,1.0,96.0,TOT,1206.857142857143,1225.952380952381,1225.952380952381,0.08
Cash,Aston Villa,DEF,4.8,95,OK,19.79,8.0,1.0,95.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.08
Senesi,Bournemouth,DEF,4.6,94,OK,20.43,6.0,1.0,94.0,BOU,1102.2380952380952,1150.4761904761904,1150.4761904761904,0.08
Romero,Spurs,DEF,5.0,92,OK,18.4,19.0,1.0,92.0,TOT,1206.857142857143,1225.952380952381,1225.952380952381,0.08
Collins,Brentford,DEF,5.0,91,OK,18.2,91.0,1.0,91.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.08
Virgil,Liverpool,DEF,5.9,90,OK,15.25,11.0,1.0,90.0,LIV,1179.857142857143,1199.3333333333333,1199.3333333333333,0.08
Andersen,Fulham,DEF,4.6,86,OK,18.7,10.0,1.0,86.0,FUL,1169.2857142857144,1212.7142857142856,1212.7142857142856,0.07
